Instrument_#,I-id,Archival_Culture_Name,Possible_GJB_All_cid_Matches,Cultural_focus,Instrument_Name,Alt_Instrument_Names,Sachs_Number,Sachs_Suffix,Additional_Comments,Bibliographic_Sources,Page/plate/illustration#,Archival_source,Source_Tag,Metadata_notes
10,77,HANUNOO,16545,,FIDDLE,Gitgit,321321,18,,"Conklin, H. & Maceda, J. (1953). [Liner notes]. Hanunóo Music from the Philippines. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/hanunoo-music-from-the-philippines/world/album/smithsonian",,3A27,@FW1953HanunooMusic  ,
10,78,HANUNOO,16545,,GUITAR,,321321,16,,"Conklin, H. & Maceda, J. (1953). [Liner notes]. Hanunóo Music from the Philippines. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/hanunoo-music-from-the-philippines/world/album/smithsonian",,3A27,@FW1953HanunooMusic  ,
20,79,HANUNOO,16545,,FLUTE,,42112112,41,,"Conklin, H. & Maceda, J. (1953). [Liner notes]. Hanunóo Music from the Philippines. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/hanunoo-music-from-the-philippines/world/album/smithsonian",,3A27,@FW1953HanunooMusic  ,
33,80,HANUNOO,16545,,JEWS HARP,,12121,4,,"Conklin, H. & Maceda, J. (1953). [Liner notes]. Hanunóo Music from the Philippines. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/hanunoo-music-from-the-philippines/world/album/smithsonian",,3A27,@FW1953HanunooMusic  ,
27,81,HANUNOO,16545,,GONG,,111241,3,,"Conklin, H. & Maceda, J. (1953). [Liner notes]. Hanunóo Music from the Philippines. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/hanunoo-music-from-the-philippines/world/album/smithsonian",,3A27,@FW1953HanunooMusic  ,
6,82,HANUNOO,16545,,HETEROCHORD,Kudlung; Tabungbung,31212,17,,"Conklin, H. & Maceda, J. (1953). [Liner notes]. Hanunóo Music from the Philippines. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/hanunoo-music-from-the-philippines/world/album/smithsonian",,3A27,@FW1953HanunooMusic  ,
31,83,HANUNOO,16545,,RATTLE,,11213,3,Pods of bean,"Conklin, H. & Maceda, J. (1953). [Liner notes]. Hanunóo Music from the Philippines. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/hanunoo-music-from-the-philippines/world/album/smithsonian",,3A27,@FW1953HanunooMusic  ,
26,84,HANUNOO,16545,,PERCUSSION STICK,Kalutang,11121,4,,"Conklin, H. & Maceda, J. (1953). [Liner notes]. Hanunóo Music from the Philippines. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/hanunoo-music-from-the-philippines/world/album/smithsonian",,3A27,@FW1953HanunooMusic  ,
30,85,HANUNOO,16545,,SLIT DRUM,Barimbow,111231,0,,"Conklin, H. & Maceda, J. (1953). [Liner notes]. Hanunóo Music from the Philippines. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/hanunoo-music-from-the-philippines/world/album/smithsonian",,3A27,@FW1953HanunooMusic  ,
5,86,HANUNOO,16545,,MUSICAL BOW,,3111,0,,"Conklin, H. & Maceda, J. (1953). [Liner notes]. Hanunóo Music from the Philippines. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/hanunoo-music-from-the-philippines/world/album/smithsonian",,3A27,@FW1953HanunooMusic  ,
20,87,HANUNOO,16545,,WHISTLE,Tanghup,4212,41,,"Conklin, H. & Maceda, J. (1953). [Liner notes]. Hanunóo Music from the Philippines. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/hanunoo-music-from-the-philippines/world/album/smithsonian",,3A27,@FW1953HanunooMusic  ,
6,88,HANUNOO,16545,,IDIOCHORD,,31211,17,,"Conklin, H. & Maceda, J. (1953). [Liner notes]. Hanunóo Music from the Philippines. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/hanunoo-music-from-the-philippines/world/album/smithsonian",,3A27,@FW1953HanunooMusic  ,
31,89,QUECHUA,"24102, 23607, 24091, 62301, 13289",,RATTLE,,112111,0,Fruit shells,"Izikowitz, K. G. (1935). Musical and other sound instruments of the south American Indians: A comparative ethnographical study. Göteborg: Elanders Boktryckeri.","Izikowitz, 48",,@Izikowitz1935SouthAmericanIndians  ,
21,90,QUECHUA,"24102, 23607, 24091, 62301, 13289",,PANPIPE,,4211123,0,,"Keiler, B. (1962). [Liner notes]. Instruments and Music of Indians of Bolivia [LP]. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/instruments-and-music-of-indians-of-bolivia/american-indian-world/album/smithsonian; Izikowitz, K. G. (1935). Musical and other sound instruments of the south American Indians: A comparative ethnographical study. Göteborg: Elanders Boktryckeri.","Izikowitz, 385",,@FW1962IndiansOfBolivia @Izikowitz1935SouthAmericanIndians ,
