Instrument_#,I-id,Instrument_Name,Archival_Culture_Name,Sachs_Number,Sachs_Suffix,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,Active
13,923,CONCH,BETSILEO,423112,0,11,0,1,2,2,1,2,8,1,0,0,1,6,2,1
10,916,FIDDLE,BETSILEO,321322,18,9,0,3,2,2,3,3,11,10,15,0,5,7,3,1
20,924,FLUTE,BETSILEO,4211111,27,10,0,6,2,2,1,1,1,0,0,0,0,6,7,1
42,919,DRUM,BETSILEO,211211,13,0,5,6,2,2,3,3,11,10,15,0,3,15,9,1
6,915,ZITHER,BETSILEO,31122,16,7,0,6,2,2,1,3,11,16,15,0,5,15,9,1
6,920,ZITHER,BETSILEO,31211,16,7,0,7,2,1,1,3,11,15,16,0,5,15,9,1
26,918,STAMP TUBE,BETSILEO,1111,0,0,0,1,2,2,1,3,11,15,10,0,5,6,10,1
33,1061,JEWS HARP,BONTOK,1212,3,0,2,1,2,1,1,2,4,15,0,9,0,6,2,1
27,1063,GONG,BONTOK,1112411,3,0,5,2,2,1,1,1,10,0,0,0,1,6,5,1
27,1062,GONG,BONTOK,1112411,3,0,5,4,2,1,1,1,10,0,0,0,1,6,5,1
13,1731,TRUMPET,BRI URB BAR,423121,28,10,0,3,2,1,5,1,14,0,0,0,1,6,2,1
14,1740,CORNET,BRI URB BAR,4231212,28,10,0,3,2,1,4,2,16,13,0,0,6,6,2,1
20,1738,FLUTE,BRI URB BAR,42112112,27,10,0,2,3,1,4,2,16,13,0,0,6,6,2,1
20,1739,RECORDER,BRI URB BAR,421221120,27,10,0,4,2,1,5,3,16,10,13,0,6,6,2,1
18,1730,OBOE,BRI URB BAR,4221112,0,10,0,5,2,1,4,2,16,13,0,0,7,6,2,1
15,1742,TROMBONE,BRI URB BAR,42322,0,10,0,5,2,2,4,2,16,13,0,0,9,6,2,1
10,1741,VIOLIN,BRI URB BAR,321322,19,9,0,5,2,1,4,2,16,13,0,0,6,5,3,1
10,1736,CITTERN,BRI URB BAR,321322,16,7,0,6,3,1,4,3,10,13,16,0,6,11,4,1
10,1734,LUTE,BRI URB BAR,321321,16,7,0,6,4,1,4,3,10,13,16,0,6,11,4,1
9,1733,HARPISCHORD,BRI URB BAR,314122,15,8,0,8,4,1,4,3,16,13,15,0,6,15,4,1
